gene,species,genome_size_mb,ploidy,found_in_genome,needs_manual_recovery,n_guides,ot_total,ot_per_guide,ot_mm0,ot_mm1,ot_mm2,ot_mm3,ot_mm4,ot_genic,ot_intergenic
ACT1,Aegilops tauschii,4200,diploid,True,False,1,3,3.0,1,0,1,0,1,2,1
ACT1,Arabidopsis thaliana,135,diploid,True,False,2,14,7.0,5,2,3,2,2,14,0
ACT1,Asparagus officinalis,1200,diploid,True,False,2,67,33.5,0,0,1,9,57,2,65
ACT1,Beta vulgaris,558,diploid,True,False,1,2,2.0,0,0,2,0,0,2,0
ACT1,Brachypodium distachyon,355,diploid,True,False,1,1,1.0,0,1,0,0,0,1,0
ACT1,Brassica napus,976,tetraploid,True,False,2,59,29.5,4,20,30,2,3,58,1
ACT1,Brassica rapa,353,diploid,True,False,1,18,18.0,0,3,6,7,2,18,0
ACT1,Camelina sativa,785,hexaploid,True,False,2,51,25.5,17,5,12,12,5,51,0
ACT1,Ceratopteris richardii,7400,diploid,True,False,1,5,5.0,0,0,1,3,1,3,2
ACT1,Chenopodium quinoa,1300,tetraploid,True,False,2,10,5.0,1,1,4,2,2,10,0
ACT1,Cicer arietinum,740,diploid,True,False,2,7,3.5,2,2,0,1,2,7,0
ACT1,Coffea canephora,569,diploid,True,False,1,1,1.0,0,0,1,0,0,1,0
ACT1,Corylus avellana,378,diploid,True,False,1,3,3.0,0,2,1,0,0,3,0
ACT1,Cucumis sativus,367,diploid,True,False,3,6,2.0,0,0,3,2,1,6,0
ACT1,Daucus carota,430,diploid,True,False,2,3,1.5,0,0,0,1,2,2,1
ACT1,Eruca vesicaria,851,diploid,True,False,2,33,16.5,4,10,5,5,9,9,24
ACT1,Fragaria ananassa,806,octoploid,True,False,1,5,5.0,3,2,0,0,0,5,0
ACT1,Glycine max,1115,diploid,True,False,2,6,3.0,0,1,1,2,2,6,0
ACT1,Gossypium hirsutum,2300,tetraploid,True,False,2,57,28.5,2,6,10,24,15,46,11
ACT1,Helianthus annuus,3000,diploid,True,False,2,12,6.0,3,3,3,1,2,10,2
ACT1,Hordeum vulgare,5100,diploid,True,False,1,2,2.0,0,1,1,0,0,2,0
ACT1,Lactuca sativa,2600,diploid,True,False,2,13,6.5,2,1,2,4,4,10,3
ACT1,Lupinus angustifolius,924,diploid,True,False,2,5,2.5,0,0,2,1,2,5,0
ACT1,Malus domestica,703,diploid,True,False,1,12,12.0,1,0,0,4,7,5,7
ACT1,Manihot esculenta,750,diploid,True,False,2,4,2.0,2,1,0,0,1,4,0
ACT1,Musa acuminata,523,diploid,True,False,3,17,5.67,1,5,6,3,2,17,0
ACT1,Phaseolus vulgaris,530,diploid,True,False,2,3,1.5,0,0,1,2,0,3,0
ACT1,Pisum sativum,4450,diploid,True,False,2,5,2.5,0,0,2,1,2,5,0
ACT1,Populus deltoides,425,diploid,True,False,1,6,6.0,1,4,0,1,0,5,1
ACT1,Populus trichocarpa,480,diploid,True,False,1,6,6.0,1,4,0,1,0,6,0
ACT1,Prunus persica,272,diploid,True,False,3,4,1.33,0,2,2,0,0,4,0
ACT1,Rubus occidentalis,240,diploid,True,False,1,3,3.0,0,1,1,0,1,3,0
ACT1,Setaria viridis,397,diploid,True,False,2,1,0.5,1,0,0,0,0,1,0
ACT1,Solanum lycopersicum,824,diploid,True,False,1,3,3.0,1,0,0,2,0,3,0
ACT1,Solanum tuberosum,1653,tetraploid,True,False,3,6,2.0,0,0,1,3,2,6,0
