gene,species,genome_size_mb,ploidy,n_guides,total_ot,genic_ot,intergenic_ot,unannotated_ot,fraction_genic,total_ot_per_guide,genic_ot_per_guide,intergenic_ot_per_guide
ACT1,Aegilops tauschii,4200,diploid,7,1483,147,1336,0,0.0991,211.86,21.0,190.86
ACT1,Arabidopsis thaliana,135,diploid,8,117,102,15,0,0.8718,14.62,12.75,1.88
ACT1,Asparagus officinalis,1200,diploid,7,4277,189,4088,0,0.0442,611.0,27.0,584.0
ACT1,Beta vulgaris,558,diploid,9,168,65,103,0,0.3869,18.67,7.22,11.44
ACT1,Brachypodium distachyon,355,diploid,9,210,119,91,0,0.5667,23.33,13.22,10.11
ACT1,Brassica napus,976,tetraploid,8,396,341,55,0,0.8611,49.5,42.62,6.88
ACT1,Brassica rapa,353,diploid,8,180,158,22,0,0.8778,22.5,19.75,2.75
ACT1,Camelina sativa,785,hexaploid,6,600,287,313,0,0.4783,100.0,47.83,52.17
ACT1,Ceratopteris richardii,7400,diploid,8,2701,192,2509,0,0.0711,337.62,24.0,313.62
ACT1,Chenopodium quinoa,1300,tetraploid,9,580,170,410,0,0.2931,64.44,18.89,45.56
ACT1,Cicer arietinum,740,diploid,8,231,118,113,0,0.5108,28.88,14.75,14.12
ACT1,Coffea canephora,569,diploid,6,172,63,109,0,0.3663,28.67,10.5,18.17
ACT1,Corylus avellana,378,diploid,7,334,156,178,0,0.4671,47.71,22.29,25.43
ACT1,Cucumis sativus,367,diploid,6,96,64,32,0,0.6667,16.0,10.67,5.33
ACT1,Daucus carota,430,diploid,8,268,116,152,0,0.4328,33.5,14.5,19.0
ACT1,Eleusine coracana,1100,tetraploid,11,743,261,482,0,0.3513,67.55,23.73,43.82
ACT1,Eruca vesicaria,851,diploid,8,414,57,357,0,0.1377,51.75,7.12,44.62
ACT1,Fragaria ananassa,806,octoploid,8,781,439,342,0,0.5621,97.62,54.88,42.75
ACT1,Glycine max,1115,diploid,8,745,162,583,0,0.2174,93.12,20.25,72.88
ACT1,Gossypium hirsutum,2300,tetraploid,9,2603,398,2205,0,0.1529,289.22,44.22,245.0
ACT1,Helianthus annuus,3000,diploid,6,3246,180,3066,0,0.0555,541.0,30.0,511.0
ACT1,Hordeum vulgare,5100,diploid,7,9838,162,9676,0,0.0165,1405.43,23.14,1382.29
ACT1,Lactuca sativa,2600,diploid,9,635,54,581,0,0.085,70.56,6.0,64.56
ACT1,Lotus japonicus,554,diploid,10,159,96,63,0,0.6038,15.9,9.6,6.3
ACT1,Lupinus angustifolius,924,diploid,7,361,175,186,0,0.4848,51.57,25.0,26.57
ACT1,Malus domestica,703,diploid,8,702,180,522,0,0.2564,87.75,22.5,65.25
ACT1,Manihot esculenta,750,diploid,9,289,160,129,0,0.5536,32.11,17.78,14.33
ACT1,Miscanthus sinensis,2080,diploid,11,1563,333,1230,0,0.2131,142.09,30.27,111.82
ACT1,Musa acuminata,523,diploid,7,295,213,82,0,0.722,42.14,30.43,11.71
ACT1,Panicum miliaceum,835,diploid,11,1034,519,515,0,0.5019,94.0,47.18,46.82
ACT1,Paspalum notatum,513,diploid,9,366,141,225,0,0.3852,40.67,15.67,25.0
ACT1,Phaseolus vulgaris,530,diploid,7,125,72,53,0,0.576,17.86,10.29,7.57
ACT1,Pisum sativum,4450,diploid,7,3418,111,3307,0,0.0325,488.29,15.86,472.43
ACT1,Populus deltoides,425,diploid,9,169,99,70,0,0.5858,18.78,11.0,7.78
ACT1,Populus trichocarpa,480,diploid,9,270,161,109,0,0.5963,30.0,17.89,12.11
ACT1,Prunus persica,272,diploid,7,173,71,102,0,0.4104,24.71,10.14,14.57
ACT1,Rubus occidentalis,240,diploid,7,284,111,173,0,0.3908,40.57,15.86,24.71
ACT1,Setaria viridis,397,diploid,9,332,111,221,0,0.3343,36.89,12.33,24.56
ACT1,Solanum lycopersicum,824,diploid,7,267,81,186,0,0.3034,38.14,11.57,26.57
