gene,species,genome_size_mb,ploidy,n_guides,total_ot,genic_ot,intergenic_ot,unannotated_ot,fraction_genic,total_ot_per_guide,genic_ot_per_guide,intergenic_ot_per_guide
ACT1,Aegilops tauschii,4200,diploid,1,3,2,1,0,0.6667,3.0,2.0,1.0
ACT1,Arabidopsis thaliana,135,diploid,2,14,14,0,0,1.0,7.0,7.0,0.0
ACT1,Asparagus officinalis,1200,diploid,2,67,2,65,0,0.0299,33.5,1.0,32.5
ACT1,Beta vulgaris,558,diploid,1,2,2,0,0,1.0,2.0,2.0,0.0
ACT1,Brachypodium distachyon,355,diploid,1,1,1,0,0,1.0,1.0,1.0,0.0
ACT1,Brassica napus,976,tetraploid,2,59,58,1,0,0.9831,29.5,29.0,0.5
ACT1,Brassica rapa,353,diploid,1,18,18,0,0,1.0,18.0,18.0,0.0
ACT1,Camelina sativa,785,hexaploid,2,51,51,0,0,1.0,25.5,25.5,0.0
ACT1,Ceratopteris richardii,7400,diploid,1,5,3,2,0,0.6,5.0,3.0,2.0
ACT1,Chenopodium quinoa,1300,tetraploid,2,10,10,0,0,1.0,5.0,5.0,0.0
ACT1,Cicer arietinum,740,diploid,2,7,7,0,0,1.0,3.5,3.5,0.0
ACT1,Coffea canephora,569,diploid,1,1,1,0,0,1.0,1.0,1.0,0.0
ACT1,Corylus avellana,378,diploid,1,3,3,0,0,1.0,3.0,3.0,0.0
ACT1,Cucumis sativus,367,diploid,3,6,6,0,0,1.0,2.0,2.0,0.0
ACT1,Daucus carota,430,diploid,2,3,2,1,0,0.6667,1.5,1.0,0.5
ACT1,Eruca vesicaria,851,diploid,2,33,9,24,0,0.2727,16.5,4.5,12.0
ACT1,Fragaria ananassa,806,octoploid,1,5,5,0,0,1.0,5.0,5.0,0.0
ACT1,Glycine max,1115,diploid,2,6,6,0,0,1.0,3.0,3.0,0.0
ACT1,Gossypium hirsutum,2300,tetraploid,2,57,46,11,0,0.807,28.5,23.0,5.5
ACT1,Helianthus annuus,3000,diploid,2,12,10,2,0,0.8333,6.0,5.0,1.0
ACT1,Hordeum vulgare,5100,diploid,1,2,2,0,0,1.0,2.0,2.0,0.0
ACT1,Lactuca sativa,2600,diploid,2,13,10,3,0,0.7692,6.5,5.0,1.5
ACT1,Lupinus angustifolius,924,diploid,2,5,5,0,0,1.0,2.5,2.5,0.0
ACT1,Malus domestica,703,diploid,1,12,5,7,0,0.4167,12.0,5.0,7.0
ACT1,Manihot esculenta,750,diploid,2,4,4,0,0,1.0,2.0,2.0,0.0
ACT1,Musa acuminata,523,diploid,3,17,17,0,0,1.0,5.67,5.67,0.0
ACT1,Phaseolus vulgaris,530,diploid,2,3,3,0,0,1.0,1.5,1.5,0.0
ACT1,Pisum sativum,4450,diploid,2,5,5,0,0,1.0,2.5,2.5,0.0
ACT1,Populus deltoides,425,diploid,1,6,5,1,0,0.8333,6.0,5.0,1.0
ACT1,Populus trichocarpa,480,diploid,1,6,6,0,0,1.0,6.0,6.0,0.0
ACT1,Prunus persica,272,diploid,3,4,4,0,0,1.0,1.33,1.33,0.0
ACT1,Rubus occidentalis,240,diploid,1,3,3,0,0,1.0,3.0,3.0,0.0
ACT1,Setaria viridis,397,diploid,2,1,1,0,0,1.0,0.5,0.5,0.0
ACT1,Solanum lycopersicum,824,diploid,1,3,3,0,0,1.0,3.0,3.0,0.0
ACT1,Solanum tuberosum,1653,tetraploid,3,6,6,0,0,1.0,2.0,2.0,0.0
ACT1,Spinacia oleracea,989,diploid,1,1,1,0,0,1.0,1.0,1.0,0.0
ACT1,Thlaspi arvense,539,diploid,2,19,17,2,0,0.8947,9.5,8.5,1.0
ACT1,Vicia faba,11900,diploid,3,60,6,54,0,0.1,20.0,2.0,18.0
ACT1,Vigna unguiculata,641,diploid,2,3,3,0,0,1.0,1.5,1.5,0.0
APT3,Aegilops tauschii,4200,diploid,3,9,0,9,0,0.0,3.0,0.0,3.0
APT3,Arabidopsis thaliana,135,diploid,4,3,3,0,0,1.0,0.75,0.75,0.0
APT3,Asparagus officinalis,1200,diploid,2,0,0,0,0,0.0,0.0,0.0,0.0
APT3,Beta vulgaris,558,diploid,5,1,1,0,0,1.0,0.2,0.2,0.0
APT3,Brachypodium distachyon,355,diploid,3,0,0,0,0,0.0,0.0,0.0,0.0
APT3,Brassica napus,976,tetraploid,4,11,4,7,0,0.3636,2.75,1.0,1.75
APT3,Brassica rapa,353,diploid,4,3,2,1,0,0.6667,0.75,0.5,0.25
APT3,Camelina sativa,785,hexaploid,5,22,20,2,0,0.9091,4.4,4.0,0.4
APT3,Ceratopteris richardii,7400,diploid,1,4,2,2,0,0.5,4.0,2.0,2.0
APT3,Chenopodium quinoa,1300,tetraploid,4,10,6,4,0,0.6,2.5,1.5,1.0
APT3,Cicer arietinum,740,diploid,4,3,3,0,0,1.0,0.75,0.75,0.0
APT3,Coffea canephora,569,diploid,7,2,0,2,0,0.0,0.29,0.0,0.29
APT3,Corylus avellana,378,diploid,4,1,0,1,0,0.0,0.25,0.0,0.25
APT3,Cucumis sativus,367,diploid,4,3,3,0,0,1.0,0.75,0.75,0.0
APT3,Daucus carota,430,diploid,5,8,4,4,0,0.5,1.6,0.8,0.8
APT3,Eleusine coracana,1100,tetraploid,3,5,4,1,0,0.8,1.67,1.33,0.33
APT3,Eruca vesicaria,851,diploid,4,9,0,9,0,0.0,2.25,0.0,2.25
APT3,Fragaria ananassa,806,octoploid,4,13,12,1,0,0.9231,3.25,3.0,0.25
APT3,Glycine max,1115,diploid,4,27,13,14,0,0.4815,6.75,3.25,3.5
APT3,Gossypium hirsutum,2300,tetraploid,5,17,8,9,0,0.4706,3.4,1.6,1.8
APT3,Helianthus annuus,3000,diploid,3,16,7,9,0,0.4375,5.33,2.33,3.0
APT3,Hordeum vulgare,5100,diploid,3,3,0,3,0,0.0,1.0,0.0,1.0
APT3,Lactuca sativa,2600,diploid,3,4,3,1,0,0.75,1.33,1.0,0.33
APT3,Lotus japonicus,554,diploid,5,0,0,0,0,0.0,0.0,0.0,0.0
APT3,Lupinus angustifolius,924,diploid,4,0,0,0,0,0.0,0.0,0.0,0.0
APT3,Malus domestica,703,diploid,6,26,17,9,0,0.6538,4.33,2.83,1.5
APT3,Manihot esculenta,750,diploid,5,7,7,0,0,1.0,1.4,1.4,0.0
APT3,Miscanthus sinensis,2080,diploid,2,1,1,0,0,1.0,0.5,0.5,0.0
APT3,Musa acuminata,523,diploid,1,2,2,0,0,1.0,2.0,2.0,0.0
APT3,Panicum miliaceum,835,diploid,2,2,2,0,0,1.0,1.0,1.0,0.0
APT3,Paspalum notatum,513,diploid,2,2,0,2,0,0.0,1.0,0.0,1.0
APT3,Phaseolus vulgaris,530,diploid,4,3,0,3,0,0.0,0.75,0.0,0.75
APT3,Pisum sativum,4450,diploid,5,1,0,1,0,0.0,0.2,0.0,0.2
APT3,Populus deltoides,425,diploid,6,15,5,10,0,0.3333,2.5,0.83,1.67
APT3,Populus trichocarpa,480,diploid,6,21,5,16,0,0.2381,3.5,0.83,2.67
APT3,Prunus persica,272,diploid,5,9,3,6,0,0.3333,1.8,0.6,1.2
APT3,Rubus occidentalis,240,diploid,6,54,4,50,0,0.0741,9.0,0.67,8.33
APT3,Setaria viridis,397,diploid,2,0,0,0,0,0.0,0.0,0.0,0.0
APT3,Solanum lycopersicum,824,diploid,6,1,1,0,0,1.0,0.17,0.17,0.0
APT3,Solanum tuberosum,1653,tetraploid,7,6,1,5,0,0.1667,0.86,0.14,0.71
APT3,Sorghum bicolor,709,diploid,1,0,0,0,0,0.0,0.0,0.0,0.0
APT3,Spinacia oleracea,989,diploid,4,0,0,0,0,0.0,0.0,0.0,0.0
APT3,Thlaspi arvense,539,diploid,4,2,2,0,0,1.0,0.5,0.5,0.0
APT3,Vicia faba,11900,diploid,7,29,1,28,0,0.0345,4.14,0.14,4.0
APT3,Vigna unguiculata,641,diploid,4,0,0,0,0,0.0,0.0,0.0,0.0
APT3,Vitis vinifera,486,diploid,6,11,7,4,0,0.6364,1.83,1.17,0.67
APT3,Zea mays,2500,diploid,1,0,0,0,0,0.0,0.0,0.0,0.0
EF1a,Aegilops tauschii,4200,diploid,1,5,2,3,0,0.4,5.0,2.0,3.0
EF1a,Arabidopsis thaliana,135,diploid,1,2,2,0,0,1.0,2.0,2.0,0.0
EF1a,Asparagus officinalis,1200,diploid,1,0,0,0,0,0.0,0.0,0.0,0.0
EF1a,Beta vulgaris,558,diploid,2,9,8,1,0,0.8889,4.5,4.0,0.5
EF1a,Brachypodium distachyon,355,diploid,1,5,5,0,0,1.0,5.0,5.0,0.0
EF1a,Brassica napus,976,tetraploid,1,11,11,0,0,1.0,11.0,11.0,0.0
EF1a,Brassica rapa,353,diploid,1,6,6,0,0,1.0,6.0,6.0,0.0
EF1a,Ceratopteris richardii,7400,diploid,3,47,11,36,0,0.234,15.67,3.67,12.0
EF1a,Chenopodium quinoa,1300,tetraploid,1,12,12,0,0,1.0,12.0,12.0,0.0
EF1a,Cicer arietinum,740,diploid,1,16,16,0,0,1.0,16.0,16.0,0.0
EF1a,Coffea canephora,569,diploid,1,2,2,0,0,1.0,2.0,2.0,0.0
EF1a,Corylus avellana,378,diploid,1,0,0,0,0,0.0,0.0,0.0,0.0
EF1a,Cucumis sativus,367,diploid,2,3,3,0,0,1.0,1.5,1.5,0.0
EF1a,Daucus carota,430,diploid,1,7,7,0,0,1.0,7.0,7.0,0.0
EF1a,Fragaria ananassa,806,octoploid,2,14,14,0,0,1.0,7.0,7.0,0.0
EF1a,Glycine max,1115,diploid,2,7,5,2,0,0.7143,3.5,2.5,1.0
EF1a,Gossypium hirsutum,2300,tetraploid,1,28,17,11,0,0.6071,28.0,17.0,11.0
EF1a,Helianthus annuus,3000,diploid,2,1,1,0,0,1.0,0.5,0.5,0.0
EF1a,Hordeum vulgare,5100,diploid,1,23,8,15,0,0.3478,23.0,8.0,15.0
EF1a,Lactuca sativa,2600,diploid,4,21,2,19,0,0.0952,5.25,0.5,4.75
EF1a,Lotus japonicus,554,diploid,1,2,2,0,0,1.0,2.0,2.0,0.0
EF1a,Malus domestica,703,diploid,1,5,5,0,0,1.0,5.0,5.0,0.0
EF1a,Manihot esculenta,750,diploid,1,6,3,3,0,0.5,6.0,3.0,3.0
EF1a,Miscanthus sinensis,2080,diploid,1,5,5,0,0,1.0,5.0,5.0,0.0
EF1a,Panicum miliaceum,835,diploid,1,13,8,5,0,0.6154,13.0,8.0,5.0
EF1a,Paspalum notatum,513,diploid,1,6,6,0,0,1.0,6.0,6.0,0.0
EF1a,Phaseolus vulgaris,530,diploid,2,2,2,0,0,1.0,1.0,1.0,0.0
EF1a,Pisum sativum,4450,diploid,2,12,7,5,0,0.5833,6.0,3.5,2.5
EF1a,Populus deltoides,425,diploid,1,9,9,0,0,1.0,9.0,9.0,0.0
EF1a,Populus trichocarpa,480,diploid,1,8,8,0,0,1.0,8.0,8.0,0.0
EF1a,Rubus occidentalis,240,diploid,1,8,5,3,0,0.625,8.0,5.0,3.0
EF1a,Solanum lycopersicum,824,diploid,1,4,4,0,0,1.0,4.0,4.0,0.0
EF1a,Solanum tuberosum,1653,tetraploid,1,5,5,0,0,1.0,5.0,5.0,0.0
EF1a,Spinacia oleracea,989,diploid,2,16,16,0,0,1.0,8.0,8.0,0.0
EF1a,Vicia faba,11900,diploid,1,8,6,2,0,0.75,8.0,6.0,2.0
EF1a,Vigna unguiculata,641,diploid,2,4,4,0,0,1.0,2.0,2.0,0.0
EF1a,Vitis vinifera,486,diploid,1,2,2,0,0,1.0,2.0,2.0,0.0
EF1a,Zea mays,2500,diploid,1,9,7,2,0,0.7778,9.0,7.0,2.0
HSP70,Ceratopteris richardii,7400,diploid,2,261,15,246,0,0.0575,130.5,7.5,123.0
HSP70,Chenopodium quinoa,1300,tetraploid,1,1,1,0,0,1.0,1.0,1.0,0.0
HSP70,Cicer arietinum,740,diploid,3,7,6,1,0,0.8571,2.33,2.0,0.33
HSP70,Coffea canephora,569,diploid,3,5,3,2,0,0.6,1.67,1.0,0.67
HSP70,Cucumis sativus,367,diploid,3,6,3,3,0,0.5,2.0,1.0,1.0
HSP70,Daucus carota,430,diploid,2,4,4,0,0,1.0,2.0,2.0,0.0
HSP70,Eruca vesicaria,851,diploid,1,6,1,5,0,0.1667,6.0,1.0,5.0
HSP70,Fragaria ananassa,806,octoploid,1,1,1,0,0,1.0,1.0,1.0,0.0
HSP70,Glycine max,1115,diploid,2,6,5,1,0,0.8333,3.0,2.5,0.5
HSP70,Gossypium hirsutum,2300,tetraploid,4,92,48,44,0,0.5217,23.0,12.0,11.0
HSP70,Helianthus annuus,3000,diploid,2,8,1,7,0,0.125,4.0,0.5,3.5
HSP70,Hordeum vulgare,5100,diploid,1,4,1,3,0,0.25,4.0,1.0,3.0
HSP70,Lotus japonicus,554,diploid,1,3,2,1,0,0.6667,3.0,2.0,1.0
HSP70,Lupinus angustifolius,924,diploid,1,2,2,0,0,1.0,2.0,2.0,0.0
HSP70,Manihot esculenta,750,diploid,2,4,4,0,0,1.0,2.0,2.0,0.0
HSP70,Musa acuminata,523,diploid,2,1,0,1,0,0.0,0.5,0.0,0.5
HSP70,Paspalum notatum,513,diploid,1,1,1,0,0,1.0,1.0,1.0,0.0
HSP70,Phaseolus vulgaris,530,diploid,1,2,1,1,0,0.5,2.0,1.0,1.0
