gene,species,genome_size_mb,ploidy,found_in_genome,needs_manual_recovery,n_guides,ot_total,ot_per_guide,ot_mm0,ot_mm1,ot_mm2,ot_mm3,ot_mm4,ot_genic,ot_intergenic
ACT1,Aegilops tauschii,4200,diploid,True,False,7,1483,211.86,1,2,23,108,1349,147,1336
ACT1,Arabidopsis thaliana,135,diploid,True,False,8,117,14.62,5,8,20,19,65,102,15
ACT1,Asparagus officinalis,1200,diploid,True,False,7,4277,611.0,1,20,228,1904,2124,189,4088
ACT1,Beta vulgaris,558,diploid,True,False,9,168,18.67,0,3,6,34,125,65,103
ACT1,Brachypodium distachyon,355,diploid,True,False,9,210,23.33,3,9,19,31,148,119,91
ACT1,Brassica napus,976,tetraploid,True,False,8,396,49.5,19,22,99,99,157,341,55
ACT1,Camelina sativa,785,hexaploid,True,False,6,600,100.0,47,21,49,68,415,287,313
ACT1,Ceratopteris richardii,7400,diploid,True,False,8,2701,337.62,0,6,31,221,2443,192,2509
ACT1,Chenopodium quinoa,1300,tetraploid,True,False,9,580,64.44,5,4,25,70,476,170,410
ACT1,Cicer arietinum,740,diploid,True,False,8,231,28.88,2,10,12,38,169,118,113
ACT1,Coffea canephora,569,diploid,True,False,6,172,28.67,0,0,11,42,119,63,109
ACT1,Corylus avellana,378,diploid,True,False,7,334,47.71,0,4,8,50,272,156,178
ACT1,Cucumis sativus,367,diploid,True,False,6,96,16.0,0,0,11,23,62,64,32
ACT1,Daucus carota,430,diploid,True,False,8,268,33.5,3,3,16,48,198,116,152
ACT1,Eleusine coracana,1100,tetraploid,True,False,11,743,67.55,20,13,15,118,577,261,482
ACT1,Eruca vesicaria,851,diploid,True,False,8,414,51.75,11,29,50,78,246,57,357
ACT1,Fragaria ananassa,806,octoploid,True,False,8,781,97.62,40,43,77,101,520,439,342
ACT1,Glycine max,1115,diploid,True,False,8,745,93.12,6,8,19,127,585,162,583
ACT1,Gossypium hirsutum,2300,tetraploid,True,False,9,2603,289.22,24,40,92,528,1919,398,2205
ACT1,Helianthus annuus,3000,diploid,True,False,6,3246,541.0,2,7,16,349,2872,180,3066
ACT1,Hordeum vulgare,5100,diploid,True,False,7,9838,1405.43,1,2,102,8799,934,162,9676
ACT1,Lactuca sativa,2600,diploid,True,False,9,635,70.56,0,2,7,59,567,54,581
ACT1,Lotus japonicus,554,diploid,True,False,10,159,15.9,3,5,11,23,117,96,63
ACT1,Lupinus angustifolius,924,diploid,True,False,7,361,51.57,1,10,28,60,262,175,186
ACT1,Malus domestica,703,diploid,True,False,8,702,87.75,9,19,21,142,511,180,522
ACT1,Manihot esculenta,750,diploid,True,False,9,289,32.11,4,14,35,35,201,160,129
ACT1,Miscanthus sinensis,2080,diploid,True,False,11,1563,142.09,2,20,40,139,1362,333,1230
ACT1,Panicum miliaceum,835,diploid,True,False,11,1034,94.0,12,16,30,101,875,519,515
ACT1,Paspalum notatum,513,diploid,True,False,9,366,40.67,2,11,15,38,300,141,225
ACT1,Phaseolus vulgaris,530,diploid,True,False,7,125,17.86,0,10,6,14,95,72,53
ACT1,Pisum sativum,4450,diploid,True,False,7,3418,488.29,0,21,95,594,2708,111,3307
ACT1,Populus deltoides,425,diploid,True,False,9,169,18.78,7,13,25,20,104,99,70
ACT1,Populus trichocarpa,480,diploid,True,False,9,270,30.0,8,19,22,41,180,161,109
ACT1,Prunus persica,272,diploid,True,False,7,173,24.71,2,4,22,37,108,71,102
ACT1,Rubus occidentalis,240,diploid,True,False,7,284,40.57,0,6,10,33,235,111,173
ACT1,Setaria viridis,397,diploid,True,False,9,332,36.89,1,6,13,41,271,111,221
ACT1,Solanum lycopersicum,824,diploid,True,False,7,267,38.14,2,7,15,35,208,81,186
ACT1,Solanum tuberosum,1653,tetraploid,True,False,8,357,44.62,0,10,23,47,277,113,244
