gene,species,genome_size_mb,ploidy,n_guides,total_ot,genic_ot,intergenic_ot,unannotated_ot,fraction_genic,total_ot_per_guide,genic_ot_per_guide,intergenic_ot_per_guide
ACT1,Aegilops tauschii,4200,diploid,10,6665,244,6421,0,0.0366,666.5,24.4,642.1
ACT1,Arabidopsis thaliana,135,diploid,12,278,211,67,0,0.759,23.17,17.58,5.58
ACT1,Asparagus officinalis,1200,diploid,14,5290,484,4806,0,0.0915,377.86,34.57,343.29
ACT1,Beta vulgaris,558,diploid,9,319,112,207,0,0.3511,35.44,12.44,23.0
ACT1,Brachypodium distachyon,355,diploid,8,310,104,206,0,0.3355,38.75,13.0,25.75
ACT1,Brassica napus,976,tetraploid,9,699,491,208,0,0.7024,77.67,54.56,23.11
ACT1,Brassica rapa,353,diploid,7,252,198,54,0,0.7857,36.0,28.29,7.71
ACT1,Camelina sativa,785,hexaploid,15,2056,799,1257,0,0.3886,137.07,53.27,83.8
ACT1,Ceratopteris richardii,7400,diploid,11,5123,323,4800,0,0.063,465.73,29.36,436.36
ACT1,Chenopodium quinoa,1300,tetraploid,14,1342,377,965,0,0.2809,95.86,26.93,68.93
ACT1,Cicer arietinum,740,diploid,14,2008,419,1589,0,0.2087,143.43,29.93,113.5
ACT1,Coffea canephora,569,diploid,11,572,172,400,0,0.3007,52.0,15.64,36.36
ACT1,Corylus avellana,378,diploid,12,915,297,618,0,0.3246,76.25,24.75,51.5
ACT1,Cucumis sativus,367,diploid,14,582,241,341,0,0.4141,41.57,17.21,24.36
ACT1,Daucus carota,430,diploid,14,879,336,543,0,0.3823,62.79,24.0,38.79
ACT1,Eleusine coracana,1100,tetraploid,4,330,102,228,0,0.3091,82.5,25.5,57.0
ACT1,Eruca vesicaria,851,diploid,11,1261,82,1179,0,0.065,114.64,7.45,107.18
ACT1,Fragaria ananassa,806,octoploid,11,1384,749,635,0,0.5412,125.82,68.09,57.73
ACT1,Glycine max,1115,diploid,11,1364,327,1037,0,0.2397,124.0,29.73,94.27
ACT1,Gossypium hirsutum,2300,tetraploid,15,5771,835,4936,0,0.1447,384.73,55.67,329.07
ACT1,Helianthus annuus,3000,diploid,11,3792,332,3460,0,0.0876,344.73,30.18,314.55
ACT1,Hordeum vulgare,5100,diploid,11,3664,207,3457,0,0.0565,333.09,18.82,314.27
ACT1,Lactuca sativa,2600,diploid,11,1952,212,1740,0,0.1086,177.45,19.27,158.18
ACT1,Lotus japonicus,554,diploid,6,275,124,151,0,0.4509,45.83,20.67,25.17
ACT1,Lupinus angustifolius,924,diploid,15,1994,557,1437,0,0.2793,132.93,37.13,95.8
ACT1,Malus domestica,703,diploid,13,962,371,591,0,0.3857,74.0,28.54,45.46
ACT1,Manihot esculenta,750,diploid,13,656,305,351,0,0.4649,50.46,23.46,27.0
ACT1,Miscanthus sinensis,2080,diploid,4,351,113,238,0,0.3219,87.75,28.25,59.5
ACT1,Musa acuminata,523,diploid,15,997,433,564,0,0.4343,66.47,28.87,37.6
ACT1,Panicum miliaceum,835,diploid,4,252,146,106,0,0.5794,63.0,36.5,26.5
ACT1,Paspalum notatum,513,diploid,8,341,143,198,0,0.4194,42.62,17.88,24.75
ACT1,Phaseolus vulgaris,530,diploid,10,302,138,164,0,0.457,30.2,13.8,16.4
ACT1,Pisum sativum,4450,diploid,14,18896,254,18642,0,0.0134,1349.71,18.14,1331.57
ACT1,Populus deltoides,425,diploid,9,375,174,201,0,0.464,41.67,19.33,22.33
ACT1,Populus trichocarpa,480,diploid,11,965,299,666,0,0.3098,87.73,27.18,60.55
ACT1,Prunus persica,272,diploid,15,489,211,278,0,0.4315,32.6,14.07,18.53
ACT1,Rubus occidentalis,240,diploid,12,1009,248,761,0,0.2458,84.08,20.67,63.42
ACT1,Setaria viridis,397,diploid,10,467,151,316,0,0.3233,46.7,15.1,31.6
ACT1,Solanum lycopersicum,824,diploid,9,2131,256,1875,0,0.1201,236.78,28.44,208.33
ACT1,Solanum tuberosum,1653,tetraploid,16,1780,405,1375,0,0.2275,111.25,25.31,85.94
ACT1,Sorghum bicolor,709,diploid,4,176,59,117,0,0.3352,44.0,14.75,29.25
ACT1,Spinacia oleracea,989,diploid,8,408,91,317,0,0.223,51.0,11.38,39.62
ACT1,Thlaspi arvense,539,diploid,9,344,133,211,0,0.3866,38.22,14.78,23.44
ACT1,Vicia faba,11900,diploid,15,28330,375,27955,0,0.0132,1888.67,25.0,1863.67
ACT1,Vigna unguiculata,641,diploid,12,588,198,390,0,0.3367,49.0,16.5,32.5
